""	"Accius"	"Ennius"	"Livius"	"Naevius"	"Pacuvius"
"quis"	1	1	0	0	1
"quin2"	2	1	0	0	0
"quin1"	0	0	1	1	0
"quietus"	1	0	0	0	0
"quiesco"	0	1	0	0	0
"quidam"	2	0	0	0	0
"quicumque1"	1	0	0	0	0
"quianam"	1	0	0	0	0
"quia"	1	1	0	0	0
"qui2"	0	0	0	0	1
"qui1"	58	41	1	4	59
"qui"	0	1	0	0	1
"questus"	1	0	0	0	0
"queo"	4	1	0	0	3
"quemadmodum2"	1	0	0	0	0
"que"	24	7	2	1	28
"quassus1"	0	0	0	0	1
"quasi1"	0	1	0	1	0
"quare2"	0	0	0	0	1
"quaque"	0	0	0	1	0
"quantus2"	2	1	0	0	0
"quantus"	0	0	0	0	1
"quantum2"	1	0	0	0	0
"quantum1"	0	0	0	0	1
"quanto1"	1	0	0	0	0
"quando2"	0	0	0	0	2
"quamquam2"	0	0	0	0	3
"quam2"	1	0	0	0	0
"quam1"	9	6	0	0	9
"qualis2"	2	0	0	0	0
"quaero"	3	1	0	0	2
"quadrupes1"	2	1	0	1	1
"quadrupedans?"	0	1	0	0	0
"quadringenti"	0	1	0	0	0
"quadriiugus"	0	1	0	0	0
"qua1"	1	0	0	0	0
"putro"	0	0	0	0	1
"puto"	1	1	0	0	2
"purus"	0	2	0	0	0
"puluis"	0	0	0	0	1
"pulsus"	0	1	0	0	0
"pulchrus"	1	0	0	0	0
"pugno"	0	1	0	0	0
"pugna"	0	0	0	1	1
"puer"	2	1	0	0	0
"pudor"	0	1	0	0	2
"pudeo"	3	0	0	0	1
"publicus2"	1	1	0	0	0
"pu"	0	1	0	0	0
"pruina"	0	0	0	0	1
"prouoco"	1	0	0	0	0
"proteruus"	0	0	0	0	1
"proteruitas"	0	0	0	0	1
"prosum1"	1	1	0	0	1
"prosper"	0	0	0	0	1
"prospectus"	1	1	0	0	1
"prorsus2"	0	1	0	0	0
"proripio"	1	0	0	0	0
"propterea"	0	1	0	0	0
"propter2"	1	3	0	0	0
"proprius"	2	0	0	0	0
"proprie"	1	0	0	0	0
"propitio"	0	0	0	0	1
"propinquitas"	0	0	0	0	1
"propigo"	1	0	0	0	0
"propero"	1	0	0	0	0
"properiter"	1	0	0	0	1
"propere"	0	0	0	0	1
"propemodum"	1	0	0	0	1
"prope1"	2	0	0	0	2
"propago2"	1	0	0	0	2
"promptus1"	1	0	0	0	0
"promontorium"	0	0	0	0	1
"promitto"	0	0	0	0	1
"promeritum"	0	0	0	0	1
"promereo"	0	0	0	0	1
"prolubium"	1	0	0	0	0
"proloquor"	0	1	0	0	1
"prolixitudo"	0	0	0	0	1
"prolicio"	0	0	0	0	1
"prolabor2"	1	0	0	0	0
"proinde"	2	0	0	1	0
"proicio"	0	0	0	0	1
"prohibeo"	1	1	0	0	1
"prognatus"	0	0	0	1	0
"profundus"	0	0	0	0	1
"profundum"	1	0	0	0	0
"profundo2"	0	0	0	0	1
"profor"	0	0	0	0	2
"proficiscor"	1	0	0	0	0
"profero"	1	2	0	0	0
"profecto"	1	0	0	0	1
"profectio"	0	0	0	0	1
"proelior"	0	1	0	0	0
"prodo"	1	0	0	0	0
"prodigium"	2	0	0	0	1
"procul"	0	2	0	0	0
"procreo"	0	0	0	0	2
"proco"	0	0	1	0	0
"procerus"	0	0	0	0	1
"procer"	1	0	0	0	0
"procella"	1	0	0	0	0
"procedo1"	1	1	0	0	0
"probus"	2	0	0	0	0
"probrum"	2	0	0	1	0
"probo"	1	0	0	0	0
"probito"	0	0	0	0	1
"probitas"	0	0	0	0	1
"proauus"	0	1	0	0	0
"pro2"	1	0	0	0	0
"pro1"	5	2	0	2	3
"prius"	1	3	0	0	4
"pristinus"	1	0	0	0	0
"principium"	2	0	0	0	0
"primus"	1	0	0	0	0
"primum"	0	0	0	0	2
"primores"	1	0	0	0	0
"primordium"	0	0	0	0	1
"primo"	1	0	0	0	0
"prex"	0	0	0	0	1
"pretium"	0	0	0	1	0
"precor"	0	0	0	0	1
"prauus"	1	0	0	0	0
"praue"	1	0	0	0	0
"praeter2"	0	1	0	1	0
"praesum1"	1	0	0	0	0
"praesto2"	4	0	0	0	0
"praesidium"	0	1	0	0	1
"praesens"	1	0	0	1	0
"praepedio"	1	0	0	0	0
"praemium"	2	0	0	0	1
"praegrandis"	0	0	0	0	1
"praegrado"	0	0	0	0	1
"praeditus"	1	0	0	0	0
"praedico2"	0	0	0	0	1
"praedico1"	2	0	0	0	0
"praeda"	1	0	1	0	0
"praeclarus"	1	0	0	0	0
"praecipito"	0	0	0	0	1
"praecido2"	1	0	0	0	0
"praeceps2"	0	0	0	0	1
"prae2"	2	0	0	0	0
"poto"	0	0	0	0	1
"potius"	1	0	0	0	0
"potis"	2	0	0	0	1
"potior"	1	0	0	1	2
"potestas"	1	0	0	0	2
"potens"	1	0	0	0	0
"postulo"	1	0	0	0	1
"postquam"	1	0	0	0	3
"posterius"	1	0	0	0	0
"postea"	1	0	0	0	0
"post1"	0	0	0	0	1
"possum1"	6	2	0	0	5
"possideo"	2	0	0	0	0
"portus"	1	1	0	0	0
"portentum"	1	0	0	0	1
"porro"	0	0	0	0	2
"porceo"	1	1	0	0	1
"populus1"	0	0	0	0	1
"populus"	0	0	0	0	1
"populo"	1	0	0	0	1
"poplesco"	1	0	0	0	0
"pono"	1	0	0	0	0
"polliceor"	0	1	0	0	0
"plerus"	0	0	0	0	2
"plane"	1	0	0	0	0
"placo"	1	0	0	0	0
"placide"	0	0	0	1	0
"piscis"	0	0	0	0	1
"pinus"	1	0	0	0	0
"pinniger"	1	0	0	0	0
"pinna"	1	0	0	0	0
"pingo"	1	0	0	0	1
"pigro"	1	0	0	0	0
"piget"	2	0	0	0	2
"piger"	0	0	0	0	1
"pietas"	0	1	0	0	0
"pex"	0	0	0	0	1
"peto"	5	3	0	0	3
"pestis"	1	1	0	0	1
"pessumdo"	0	0	0	0	1
"peruiuo"	1	0	0	0	0
"peruicax"	2	0	0	0	0
"peruicacia"	1	0	0	0	0
"peruestigo"	0	0	0	0	1
"peruerse"	0	1	0	0	0
"pertolero"	1	0	0	0	0
"pertinax"	1	0	0	0	0
"pertinacia"	1	0	0	0	0
"pertimefacio"	0	0	0	0	1
"persuadeo"	1	0	0	0	0
"persequor"	0	0	0	0	1
"perrogito"	0	0	0	0	1
"perpetuo2"	0	0	0	0	1
"perpetro"	0	0	0	0	2
"perpetior"	0	0	0	0	1
"perpes"	0	0	0	0	2
"pernix"	1	0	0	0	0
"permulceo"	0	0	0	0	1
"permitto"	1	0	0	0	0
"permicies"	1	0	0	0	0
"perite"	1	0	0	0	0
"periculum"	1	0	0	0	0
"perhibeo"	0	0	0	0	1
"pergrandesco"	1	0	0	0	0
"pergo"	1	1	0	1	1
"perfrimo"	1	0	0	0	0
"perfero"	1	0	0	0	0
"perfacile"	1	0	0	0	0
"pereo1"	1	0	0	0	1
"perdolisco"	1	0	0	0	0
"perdo"	0	1	0	0	3
"perditus"	0	0	0	0	1
"percutio"	0	0	0	0	1
"percito"	1	0	0	0	0
"percipio"	0	0	0	0	2
"percio"	0	0	0	0	1
"perbito"	0	1	0	0	1
"per"	5	3	1	0	4
"penuria"	0	0	0	0	1
"penitus2"	1	0	0	0	1
"pendeo"	0	1	0	0	0
"pello"	2	0	0	0	0
"pellis"	0	1	0	0	0
"pellicio"	0	0	0	0	1
"pedetentim"	0	0	0	0	1
"pecuus"	0	0	0	1	0
"pecus?"	1	0	0	0	0
"pecus2"	1	0	0	0	0
"pecus1"	0	0	1	0	1
"pecu"	2	0	0	0	0
"pectus"	3	1	0	0	2
"pecco"	1	0	0	0	0
"pauus"	0	0	0	1	1
"paupertas"	0	1	0	0	0
"pauperies"	0	1	0	0	0
"pauor"	2	1	0	0	1
"paulo"	1	0	0	0	0
"pauidus"	1	0	0	0	0
"paucus"	0	0	0	0	2
"patrius"	2	0	0	0	0
"patria"	2	3	0	1	3
"patior"	2	1	0	0	2
"paternus"	0	0	0	0	2
"pater"	7	3	0	1	8
"patagius"	0	0	0	1	0
"pastor"	1	1	0	0	0
"passim"	1	0	0	0	0
"pasco"	2	0	0	0	1
"parumper"	1	0	0	0	1
"parum1"	0	0	0	0	1
"partus1"	0	1	0	0	0
"partior"	0	0	1	0	0
"partio2"	0	1	0	0	0
"partim"	0	0	0	0	1
"particeps1"	0	0	1	0	0
"pars"	2	0	0	0	4
"paro2"	0	2	0	0	0
"pariter"	1	1	0	0	1
"pario2"	0	1	0	0	2
"paries"	0	1	0	0	0
"pareo"	0	1	1	0	0
"parens1"	1	1	0	0	2
"parco"	2	0	0	0	0
"paratus2"	1	0	0	0	0
"par2"	3	1	0	0	1
"pampinus"	1	0	0	0	0
"palam1"	0	0	0	0	1
"paenitudo"	0	0	0	0	1
"paeniteo"	0	0	0	0	1
"paeneo"	1	0	0	0	0
"paene"	0	0	0	0	1
"paedor"	1	0	0	0	0
"pactum"	1	0	0	1	1
"otium"	0	2	0	0	0
"otiosus"	0	1	0	0	0
"ostentum"	1	0	0	0	1
"ostento"	1	0	0	0	1
"ostendo"	2	0	0	0	1
"ossus"	0	0	0	0	1
"os2"	1	0	0	0	1
"os1"	2	1	0	0	0
"ortus"	1	0	0	0	0
"oro"	0	0	0	0	2
"orno"	1	0	0	0	0
"ordo"	0	1	0	0	1
"ordior"	1	0	0	0	0
"orcus"	0	1	0	0	0
"orbus"	1	1	0	0	0
"orbo"	0	0	0	0	1
"orbitudo"	1	0	0	0	1
"orbitas"	0	0	0	0	1
"orbificor"	1	0	0	0	0
"oratio"	0	2	0	1	3
"oraculum"	1	0	0	0	0
"opus2"	0	0	0	0	1
"opus1"	3	0	0	1	2
"opulentus"	0	3	0	0	0
"optumates"	0	1	0	0	0
"optabilis"	0	0	1	0	0
"ops"	2	3	0	0	1
"opprimo"	1	0	0	0	1
"oppidum"	0	1	0	0	1
"oppeto"	0	1	0	0	0
"opitulor"	0	0	0	0	1
"opinor"	0	1	0	0	0
"opinio"	1	0	0	0	0
"opimus"	1	0	0	0	0
"operio"	1	0	0	0	1
"opera"	1	0	0	0	3
"opaco"	0	0	0	0	1
"onero"	0	0	0	0	1
"on"	0	1	0	0	0
"omnis"	5	6	0	3	15
"omnipotens"	0	1	0	0	0
"omen"	3	0	0	0	1
"officium"	0	0	0	0	2
"offero"	4	0	0	0	2
"offendo"	0	0	0	0	1
"odi"	1	0	0	1	1
